length,probability_a,probability_b,optimal_lipschitz_function
0.000000000000000000e+00,8.356965873756900835e-27,3.481285712330583692e-127,0.000000000000000000e+00
1.000000000000000021e-02,1.939600726317462630e-27,1.120599242294870993e-124,1.000000000000000021e-02
2.000000000000000042e-02,1.237536477940823227e-27,1.802025607443520665e-122,2.000000000000000042e-02
2.999999999999999889e-02,2.020306354150846556e-27,1.930238794899893930e-120,2.999999999999999889e-02
4.000000000000000083e-02,1.378244760106866247e-27,1.549365304383132096e-118,4.000000000000000083e-02
5.000000000000000278e-02,1.853614211578150932e-27,9.940741347970039627e-117,5.000000000000000278e-02
5.999999999999999778e-02,4.529292340717920285e-27,5.310499614173360758e-115,6.000000000000000472e-02
7.000000000000000666e-02,1.702656930248586163e-27,2.429622704875697564e-113,7.000000000000000666e-02
8.000000000000000167e-02,1.664270536950898197e-28,9.718174978330900361e-112,8.000000000000000167e-02
8.999999999999999667e-02,1.114571546241478138e-27,3.452336871576211559e-110,8.999999999999999667e-02
1.000000000000000056e-01,1.647766539412526090e-27,1.102858906204318232e-108,9.999999999999999167e-02
1.100000000000000006e-01,1.331269560634203411e-27,3.200152036569281735e-107,1.099999999999999867e-01
1.199999999999999956e-01,1.322915879343479786e-27,8.504915222868998743e-106,1.199999999999999817e-01
1.300000000000000044e-01,1.077155631553497627e-26,2.084708161283358556e-104,1.299999999999999767e-01
1.400000000000000133e-01,8.233985607348076777e-28,4.741050623077131429e-103,1.399999999999999856e-01
1.499999999999999944e-01,1.890750532178635586e-27,1.005495544973958016e-101,1.499999999999999944e-01
1.600000000000000033e-01,9.153688739116489184e-28,1.997547722694173624e-100,1.600000000000000033e-01
1.700000000000000122e-01,1.738049457779473739e-27,3.731866833742695555e-99,1.700000000000000122e-01
1.799999999999999933e-01,1.122762995324881698e-27,6.579200929630069266e-98,1.800000000000000211e-01
1.900000000000000022e-01,1.927505761675856480e-27,1.097947076797498373e-96,1.900000000000000300e-01
2.000000000000000111e-01,1.811517840767389351e-27,1.739227238000796691e-95,2.000000000000000389e-01
