length,probability_a,probability_b,optimal_lipschitz_function
0.000000000000000000e+00,4.462434244438538207e-27,3.243123573803069555e-26,0.000000000000000000e+00
5.000000000000000278e-02,2.784137581960203661e-25,2.109039467303932916e-24,-5.000000000000000278e-02
1.000000000000000056e-01,9.837869242849382080e-24,6.828188657480016551e-23,-1.000000000000000056e-01
1.500000000000000222e-01,2.195162731290181658e-22,1.467515261725040050e-21,-1.500000000000000222e-01
2.000000000000000111e-01,3.734166950019030474e-21,2.355518067629359913e-20,-2.000000000000000111e-01
2.500000000000000000e-01,5.053707657971488211e-20,3.012058619023339137e-19,-2.500000000000000000e-01
3.000000000000000444e-01,5.673317022018915797e-19,3.196391337044327676e-18,-2.999999999999999889e-01
3.500000000000000333e-01,5.435884006151826046e-18,2.895529153926183126e-17,-3.499999999999999778e-01
4.000000000000000222e-01,4.537828012695691253e-17,2.285807068482981723e-16,-3.999999999999999667e-01
4.500000000000000111e-01,3.352918121594315306e-16,1.597538797155850300e-15,-4.499999999999999556e-01
5.000000000000000000e-01,2.220198180341287653e-15,1.000864967005611947e-14,-4.999999999999999445e-01
5.500000000000000444e-01,1.330825779241044361e-14,5.677974076618882344e-14,-5.499999999999999334e-01
6.000000000000000888e-01,7.281408204684997399e-14,2.941209154818102965e-13,-5.999999999999999778e-01
6.500000000000000222e-01,3.661857452599857394e-13,1.400928196015832417e-12,-5.499999999999999334e-01
7.000000000000000666e-01,1.702772429182324546e-12,6.172441010630041580e-12,-4.999999999999999445e-01
7.500000000000000000e-01,7.358709326879384915e-12,2.528637597689331953e-11,-4.499999999999999556e-01
8.000000000000000444e-01,2.968725196927066665e-11,9.675091751414326826e-11,-3.999999999999999667e-01
8.500000000000000888e-01,1.122431725411351208e-10,3.471185298474214732e-10,-3.499999999999999778e-01
9.000000000000000222e-01,3.990936583562042314e-10,1.171859084666113801e-09,-2.999999999999999889e-01
9.500000000000000666e-01,1.338612135760872874e-09,3.734267715643377384e-09,-2.500000000000000000e-01
1.000000000000000000e+00,4.247188955829025732e-09,1.126386716385656796e-08,-2.000000000000000111e-01
1.050000000000000044e+00,1.277906619939674817e-08,3.224209785129358215e-08,-1.500000000000000222e-01
1.100000000000000089e+00,3.654513614186881150e-08,8.778352506165249535e-08,-1.000000000000000194e-01
1.150000000000000133e+00,9.953758263756563688e-08,2.278080172630902925e-07,-5.000000000000001665e-02
1.200000000000000178e+00,2.586954921017808680e-07,5.645817272333396388e-07,-1.387778780781445676e-17
1.250000000000000000e+00,6.426649459463253292e-07,1.338611778370887707e-06,4.999999999999998890e-02
1.300000000000000044e+00,1.528496511965637258e-06,3.041313407432944835e-06,9.999999999999999167e-02
1.350000000000000089e+00,3.485504138581127175e-06,6.631355973928479407e-06,1.499999999999999944e-01
1.400000000000000133e+00,7.630941749621202743e-06,1.389591038946025961e-05,2.000000000000000111e-01
1.450000000000000178e+00,1.606016198478269586e-05,2.802088861861670149e-05,2.500000000000000000e-01
1.500000000000000000e+00,3.253050984908766719e-05,5.443972243048848320e-05,2.999999999999999889e-01
1.550000000000000044e+00,6.348581061824683615e-05,1.020196164086941342e-04,3.499999999999999778e-01
