length,probability_a,probability_b,optimal_lipschitz_function
0.000000000000000000e+00,4.027177241371196557e-27,4.433414753351612981e-64,0.000000000000000000e+00
2.000000000000000042e-02,2.634370494772845664e-27,7.153542833309419187e-62,2.000000000000000042e-02
4.000000000000000083e-02,4.781626875260590838e-27,5.761452018655001127e-60,4.000000000000000083e-02
5.999999999999999778e-02,1.087792305975609140e-27,3.088249105272214461e-58,5.999999999999999778e-02
8.000000000000000167e-02,8.581888975945519752e-27,1.239417846253787459e-56,8.000000000000000167e-02
1.000000000000000056e-01,1.000220980736912664e-27,3.972645801312900799e-55,1.000000000000000056e-01
1.199999999999999956e-01,4.054673896483079857e-27,1.059327615232906670e-53,1.200000000000000094e-01
1.400000000000000133e-01,3.796086313364896586e-27,2.417165806992336534e-52,1.400000000000000133e-01
1.600000000000000033e-01,6.676267286956952122e-27,4.817991393016635553e-51,1.600000000000000033e-01
1.799999999999999933e-01,2.223893354576445104e-29,8.522192319777103493e-50,1.799999999999999933e-01
2.000000000000000111e-01,2.484051848712920333e-27,1.354441579157831029e-48,1.999999999999999833e-01
2.200000000000000011e-01,1.101447557522568867e-28,1.953711927593059546e-47,2.199999999999999734e-01
2.399999999999999911e-01,4.808679746841256351e-27,2.579045831743874445e-46,2.399999999999999634e-01
2.600000000000000089e-01,2.401644425457181617e-27,3.137510390826140226e-45,2.599999999999999534e-01
2.800000000000000266e-01,6.584278342528323839e-30,3.538499385478641060e-44,2.799999999999999711e-01
2.999999999999999889e-01,2.285550048458140598e-27,3.718649113318558461e-43,2.999999999999999889e-01
3.200000000000000067e-01,1.442500161866900141e-27,3.657806416981107065e-42,3.200000000000000067e-01
3.400000000000000244e-01,1.684713508173445569e-27,3.380868391143766484e-41,3.400000000000000244e-01
3.599999999999999867e-01,3.554944245522313793e-27,2.946564785093294550e-40,3.600000000000000422e-01
3.800000000000000044e-01,1.836619094152539434e-29,2.429009300708345885e-39,3.800000000000000600e-01
4.000000000000000222e-01,1.065176193428498580e-27,1.899220069540941634e-38,4.000000000000000777e-01
4.199999999999999845e-01,2.563056848009150852e-27,1.412030873930549513e-37,4.200000000000000955e-01
4.400000000000000022e-01,4.515553131026763055e-27,1.000517173814584365e-36,4.400000000000001132e-01
4.600000000000000200e-01,7.777133501538002416e-28,6.770446760104979735e-36,4.600000000000001310e-01
4.799999999999999822e-01,3.104946647618894132e-27,4.383762424259844865e-35,4.800000000000001488e-01
5.000000000000000000e-01,5.133687776598013685e-27,2.720639194264301430e-34,5.000000000000001110e-01
5.200000000000000178e-01,3.144342659034387799e-27,1.621015924317547720e-33,5.200000000000001288e-01
5.400000000000000355e-01,2.401848548349235911e-28,9.286276648639035331e-33,5.400000000000001465e-01
5.600000000000000533e-01,1.829417922319490936e-27,5.121919966367923361e-32,5.600000000000001643e-01
5.799999999999999600e-01,6.378544678641364412e-27,2.723439672829604655e-31,5.800000000000001821e-01
5.999999999999999778e-01,5.269988781350447050e-27,1.397706213137484960e-30,6.000000000000001998e-01
6.199999999999999956e-01,1.570471789121763514e-28,6.931267409437266257e-30,6.200000000000002176e-01
6.400000000000000133e-01,5.435215291071820666e-27,3.324779261151917300e-29,6.400000000000002354e-01
6.600000000000000311e-01,8.713225206261394865e-28,1.544163631196258110e-28,6.600000000000002531e-01
6.800000000000000488e-01,6.143475288654706499e-28,6.950335131996746082e-28,6.800000000000002709e-01
7.000000000000000666e-01,3.191353286744659128e-28,3.034439836535054249e-27,7.000000000000002887e-01
7.199999999999999734e-01,4.383964277350460542e-27,1.286082761969469013e-26,7.200000000000003064e-01
7.399999999999999911e-01,1.837780748901020469e-28,5.295594148150070801e-26,7.400000000000003242e-01
7.600000000000000089e-01,1.108754894806168163e-26,2.119999473347589124e-25,7.600000000000003419e-01
7.800000000000000266e-01,5.487203057591682111e-26,8.257250972677612544e-25,7.800000000000003597e-01
8.000000000000000444e-01,1.842266488190630318e-25,3.131136690251908433e-24,8.000000000000003775e-01
8.200000000000000622e-01,7.203465418910669655e-25,1.156669798813578670e-23,8.200000000000003952e-01
8.399999999999999689e-01,2.685509570687356944e-24,4.165033557501331101e-23,8.400000000000004130e-01
8.599999999999999867e-01,9.563574363370710255e-24,1.462776882350897565e-22,8.600000000000004308e-01
8.800000000000000044e-01,3.386702372827471526e-23,5.013321319700950378e-22,8.800000000000004485e-01
9.000000000000000222e-01,1.181533386923312441e-22,1.677597155945385888e-21,9.000000000000004663e-01
9.200000000000000400e-01,4.084278523246058106e-22,5.483797982160992569e-21,9.200000000000004841e-01
9.400000000000000577e-01,1.371158443410047930e-21,1.751921061866937997e-20,9.400000000000005018e-01
9.599999999999999645e-01,4.495793050653003041e-21,5.472502562272664348e-20,9.600000000000005196e-01
9.799999999999999822e-01,1.444437161831034370e-20,1.672194048888063051e-19,9.800000000000005373e-01
1.000000000000000000e+00,4.536184255657826538e-20,5.000344260438069648e-19,1.000000000000000444e+00
1.020000000000000018e+00,1.394783476828560889e-19,1.463867465080662042e-18,1.020000000000000462e+00
1.040000000000000036e+00,4.198524308945661731e-19,4.197218295066945822e-18,1.040000000000000480e+00
1.060000000000000053e+00,1.237857481295236764e-18,1.179077212379111805e-17,1.060000000000000497e+00
1.080000000000000071e+00,3.575973148698248555e-18,3.246390408705786351e-17,1.080000000000000515e+00
1.100000000000000089e+00,1.012518855045166014e-17,8.763715862242982608e-17,1.100000000000000533e+00
1.120000000000000107e+00,2.811089312741725633e-17,2.320335128698600034e-16,1.120000000000000551e+00
1.140000000000000124e+00,7.654194505320524358e-17,6.027382732766422622e-16,1.140000000000000568e+00
1.159999999999999920e+00,2.044738262138545894e-16,1.536591262619089752e-15,1.160000000000000586e+00
1.179999999999999938e+00,5.360626743899663572e-16,3.845659275047585262e-15,1.180000000000000604e+00
1.199999999999999956e+00,1.379593976553136836e-15,9.451332926762510066e-15,1.200000000000000622e+00
1.219999999999999973e+00,3.486346494813948912e-15,2.281644362413918214e-14,1.220000000000000639e+00
1.239999999999999991e+00,8.653379090452585649e-15,5.411957170176600598e-14,1.240000000000000657e+00
1.260000000000000009e+00,2.110130822829185349e-14,1.261616556399026363e-13,1.260000000000000675e+00
1.280000000000000027e+00,5.056506856235390782e-14,2.891202983521870580e-13,1.280000000000000693e+00
1.300000000000000044e+00,1.191006222363156096e-13,6.515025131051561648e-13,1.300000000000000711e+00
1.320000000000000062e+00,2.758048714693948153e-13,1.443925520371332087e-12,1.320000000000000728e+00
1.340000000000000080e+00,6.280770626247580681e-13,3.148229912432261416e-12,1.340000000000000746e+00
1.360000000000000098e+00,1.406834163511408390e-12,6.754292044822981349e-12,1.360000000000000764e+00
1.380000000000000115e+00,3.100164716702761192e-12,1.426201615537657710e-11,1.380000000000000782e+00
1.400000000000000133e+00,6.722467412994927294e-12,2.964578377545190141e-11,1.400000000000000799e+00
1.419999999999999929e+00,1.434704170303623348e-11,6.067593737102755129e-11,1.420000000000000817e+00
1.439999999999999947e+00,3.014191115222035815e-11,1.223009189938403229e-10,1.440000000000000835e+00
1.459999999999999964e+00,6.235003812762796420e-11,2.428221737081381834e-10,1.460000000000000853e+00
1.479999999999999982e+00,1.270107725431789696e-10,4.749805103292601164e-10,1.480000000000000870e+00
1.500000000000000000e+00,2.548358241463097313e-10,9.155314852282073842e-10,1.500000000000000888e+00
1.520000000000000018e+00,5.037007002204134862e-10,1.739241655669647077e-09,1.520000000000000906e+00
1.540000000000000036e+00,9.809588994834295877e-10,3.256962713575079329e-09,1.540000000000000924e+00
1.560000000000000053e+00,1.882640125265178867e-09,6.013218214252470731e-09,1.560000000000000941e+00
1.580000000000000071e+00,3.561166106915139774e-09,1.094751832984785466e-08,1.580000000000000959e+00
1.600000000000000089e+00,6.640395295848466216e-09,1.965668788241424940e-08,1.600000000000000977e+00
1.620000000000000107e+00,1.220784558650014897e-08,3.481453536977432927e-08,1.620000000000000995e+00
1.640000000000000124e+00,2.213056179152656435e-08,6.083232825685899284e-08,1.640000000000001013e+00
1.660000000000000142e+00,3.956557389463321899e-08,1.048813324173109626e-07,1.660000000000001030e+00
1.679999999999999938e+00,6.977114564171776559e-08,1.784500434492800233e-07,1.680000000000001048e+00
1.699999999999999956e+00,1.213746009879772889e-07,2.996767816807380561e-07,1.700000000000001066e+00
1.719999999999999973e+00,2.083205523875380536e-07,4.967859702698898791e-07,1.720000000000001084e+00
1.739999999999999991e+00,3.528142520033485987e-07,8.130658879614399106e-07,1.740000000000001101e+00
1.760000000000000009e+00,5.896927888899407085e-07,1.313957726438116361e-06,1.760000000000001119e+00
1.780000000000000027e+00,9.728052159901323813e-07,2.096978635751665189e-06,1.780000000000001137e+00
1.800000000000000044e+00,1.584162586061569372e-06,3.305369636649936123e-06,1.800000000000001155e+00
1.820000000000000062e+00,2.546827816402426215e-06,5.146532253485595288e-06,1.820000000000001172e+00
1.840000000000000080e+00,4.042745306438588663e-06,7.916478469095305676e-06,1.840000000000001190e+00
1.860000000000000098e+00,6.336945717629143863e-06,1.203164255373864981e-05,1.860000000000001208e+00
1.880000000000000115e+00,9.809776905910193707e-06,1.806945776203629393e-05,1.880000000000001226e+00
1.900000000000000133e+00,1.499897097715390922e-05,2.681904529523185821e-05,1.900000000000001243e+00
1.919999999999999929e+00,2.265341056474253409e-05,3.934315055831472281e-05,1.920000000000001261e+00
1.939999999999999947e+00,3.380034395677922497e-05,5.705204292505723488e-05,1.940000000000001279e+00
1.959999999999999964e+00,4.982744855186177350e-05,8.178942247911850146e-05,1.960000000000001297e+00
1.979999999999999982e+00,7.258048190596535479e-05,1.159294123080592434e-04,1.980000000000001315e+00
2.000000000000000000e+00,1.044762205245300407e-04,1.624824376590050729e-04,2.000000000000001332e+00
2.020000000000000018e+00,1.486289164621671288e-04,2.252062111337127927e-04,2.020000000000001350e+00
2.040000000000000036e+00,2.089865794463750858e-04,3.087162011120842377e-04,2.040000000000001368e+00
2.060000000000000053e+00,2.904710427488642267e-04,4.185879495521737563e-04,2.060000000000001386e+00
2.080000000000000071e+00,3.991130816517293625e-04,5.614415669813649411e-04,2.080000000000001403e+00
2.100000000000000089e+00,5.421709856893066736e-04,7.449968597599592379e-04,2.100000000000001421e+00
2.120000000000000107e+00,7.282181818307506375e-04,9.780860751289438375e-04,2.120000000000001439e+00
2.140000000000000124e+00,9.671830861156619505e-04,1.270610451100672800e-03,2.140000000000001457e+00
2.160000000000000142e+00,1.270322708833263297e-03,1.633426906782124320e-03,2.160000000000001474e+00
2.180000000000000160e+00,1.650111072547452316e-03,2.078152558094658806e-03,2.180000000000001492e+00
2.200000000000000178e+00,2.120024634294843079e-03,2.616877490592424416e-03,2.200000000000001510e+00
2.220000000000000195e+00,2.694209984808243127e-03,3.261780466994936793e-03,2.220000000000001528e+00
2.240000000000000213e+00,3.387024358894419156e-03,4.024647964331252124e-03,2.240000000000001545e+00
2.260000000000000231e+00,4.212446980262613168e-03,4.916303939595801677e-03,2.260000000000001563e+00
2.280000000000000249e+00,5.183368794434458152e-03,5.945965657819020714e-03,2.280000000000001581e+00
2.300000000000000266e+00,6.310779260120562111e-03,7.120549259040001577e-03,2.300000000000001599e+00
2.319999999999999840e+00,7.602880839250579850e-03,8.443956823784227322e-03,2.320000000000001616e+00
2.339999999999999858e+00,9.064173668668257938e-03,9.916383755199355277e-03,2.340000000000001634e+00
2.359999999999999876e+00,1.069456344486410283e-02,1.153369053195165903e-02,2.360000000000001652e+00
2.379999999999999893e+00,1.248855355525481034e-02,1.328688554804791262e-02,2.380000000000001670e+00
